                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.40453,                0.55283,                 0.9418,                0.46063,                0.59647,                0.95412,                0.91466,                0.91201,                0.97381,                0.92852,                0.31385,                0.33806,                0.86265,                0.33131,                0.31029,                0.87949,             0.00055694,             0.00055694,             0.00055694
                     36,                0.39024,                0.52308,                0.94565,                 0.4514,                0.56589,                0.96157,                0.92119,                0.89944,                0.96989,                0.92586,                0.30385,                0.32195,                0.85402,                0.32429,                0.31569,                0.86892,             0.00055488,             0.00055488,             0.00055488
                     37,                0.38228,                0.50027,                0.94182,                0.43635,                 0.5517,                0.95538,                0.94356,                0.90188,                0.96915,                 0.9245,                0.31021,                0.32084,                0.86139,                0.32373,                0.29405,                0.87168,             0.00055281,             0.00055281,             0.00055281
                     38,                0.37979,                0.50444,                0.93746,                0.44261,                0.55472,                0.95169,                0.93615,                0.89073,                0.96678,                0.92466,                0.31165,                0.31688,                0.86047,                0.32791,                  0.297,                0.87257,             0.00055075,             0.00055075,             0.00055075
                     39,                0.37779,                0.49069,                0.93478,                0.43732,                0.53557,                0.94843,                 0.8809,                0.93339,                0.96824,                0.93062,                0.28935,                0.30099,                0.84902,                0.30581,                0.29239,                0.85802,             0.00054869,             0.00054869,             0.00054869
                     40,                0.38439,                0.50011,                0.94002,                0.44693,                0.54276,                0.95661,                0.90684,                0.89964,                0.96155,                0.91152,                0.32433,                0.33523,                0.86251,                0.34437,                0.32526,                0.87992,             0.00054663,             0.00054663,             0.00054663
                     41,                0.37463,                0.51098,                0.94201,                0.42889,                0.55707,                0.95611,                0.94761,                0.90133,                0.96867,                0.92621,                0.29965,                0.30617,                0.85776,                0.32078,                0.28657,                0.86941,             0.00054456,             0.00054456,             0.00054456
                     42,                0.38316,                0.50114,                0.94083,                0.44209,                0.55229,                0.95653,                0.94013,                0.90537,                0.96793,                0.92352,                0.30491,                  0.332,                0.85287,                0.32075,                0.30454,                0.86245,              0.0005425,              0.0005425,              0.0005425
                     43,                0.37835,                0.50023,                 0.9343,                0.43419,                0.54058,                0.94897,                0.95011,                0.87259,                0.96713,                0.92567,                 0.3004,                0.31615,                0.85467,                0.32199,                0.28511,                0.86945,             0.00054044,             0.00054044,             0.00054044
                     44,                0.38552,                0.51195,                0.94467,                0.44718,                0.55352,                0.96011,                 0.9355,                0.93327,                0.97343,                0.93108,                0.31407,                0.30288,                0.86655,                0.32649,                0.27064,                 0.8735,             0.00053838,             0.00053838,             0.00053838
                     45,                 0.3661,                0.48655,                0.93958,                0.42121,                0.51691,                0.95469,                0.91112,                0.90167,                0.95833,                0.91715,                0.30515,                0.33767,                0.86044,                0.31751,                0.31682,                0.86435,             0.00053631,             0.00053631,             0.00053631
                     46,                0.37125,                0.48026,                0.93079,                0.42822,                0.51735,                0.94549,                0.95055,                0.90942,                 0.9675,                0.92906,                0.29057,                0.30647,                 0.8479,                0.31369,                0.26643,                0.85525,             0.00053425,             0.00053425,             0.00053425
                     47,                0.37249,                0.47713,                0.93232,                0.43338,                0.52466,                0.94616,                0.91806,                0.93052,                0.97608,                0.93813,                0.29364,                0.29568,                0.84059,                0.30353,                0.27859,                0.84349,             0.00053219,             0.00053219,             0.00053219
                     48,                 0.3732,                0.47055,                0.93627,                0.43001,                0.49756,                0.94893,                0.94812,                0.93804,                0.98023,                0.94413,                0.28857,                0.26134,                 0.8385,                0.30428,                0.22078,                 0.8521,             0.00053013,             0.00053013,             0.00053013
                     49,                0.37425,                0.47642,                0.93761,                0.43598,                0.50928,                0.95074,                0.88936,                0.93227,                0.97306,                0.93396,                 0.2852,                0.29391,                0.84009,                 0.3099,                0.27742,                0.85855,             0.00052806,             0.00052806,             0.00052806
                     50,                0.38036,                0.46349,                 0.9335,                0.44305,                0.49286,                0.94899,                0.92667,                0.94953,                0.98116,                0.94106,                0.29669,                0.25291,                0.85408,                0.30714,                0.23046,                0.85811,               0.000526,               0.000526,               0.000526
                     51,                 0.3761,                0.45887,                0.93477,                0.43761,                0.49211,                0.94958,                0.93135,                 0.9198,                0.97719,                0.93399,                0.28968,                 0.2821,                0.84657,                0.31205,                0.26615,                0.85229,             0.00052394,             0.00052394,             0.00052394
                     52,                0.36602,                  0.469,                0.93585,                 0.4196,                0.49384,                0.94941,                0.94652,                 0.9273,                0.97463,                0.92616,                0.30538,                0.28801,                0.85056,                0.32617,                0.25997,                0.86288,             0.00052188,             0.00052188,             0.00052188
                     53,                0.36968,                 0.4689,                0.93466,                0.42358,                0.49438,                0.94875,                0.95504,                0.90231,                0.97137,                0.93251,                0.29618,                0.27645,                0.84965,                0.31348,                0.26265,                0.85937,             0.00051981,             0.00051981,             0.00051981
                     54,                0.36515,                0.45479,                0.93527,                0.42141,                0.47131,                0.94755,                0.95137,                 0.9129,                0.97855,                0.93832,                0.29174,                0.27247,                0.85074,                0.31221,                 0.2512,                0.86666,             0.00051775,             0.00051775,             0.00051775
                     55,                0.36128,                0.43896,                0.93373,                0.41437,                0.45496,                0.94619,                0.96007,                0.92722,                0.97979,                 0.9469,                0.28294,                0.25208,                0.83738,                 0.2886,                0.21294,                0.84286,             0.00051569,             0.00051569,             0.00051569
                     56,                0.36567,                0.44088,                0.93667,                0.42695,                0.47218,                 0.9514,                0.90844,                0.93053,                0.97283,                 0.9254,                0.29197,                0.29783,                0.84062,                0.31842,                0.27407,                0.85668,             0.00051363,             0.00051363,             0.00051363
                     57,                0.36844,                0.44094,                0.93744,                 0.4269,                 0.4787,                0.95369,                 0.9415,                0.87675,                0.96411,                0.92916,                0.29018,                0.30094,                0.85007,                 0.3003,                  0.276,                 0.8558,             0.00051156,             0.00051156,             0.00051156
                     58,                 0.3604,                0.43906,                0.92939,                0.41332,                 0.4583,                0.94228,                0.95235,                0.94788,                0.98161,                0.94608,                0.28774,                0.25015,                0.84367,                0.29667,                 0.2047,                0.85044,              0.0005095,              0.0005095,              0.0005095
                     59,                 0.3609,                0.42632,                0.92508,                0.41517,                0.43777,                0.93987,                0.91542,                0.96366,                0.98396,                0.94665,                0.28485,                0.25404,                0.84709,                0.29691,                0.20967,                0.85943,             0.00050744,             0.00050744,             0.00050744
                     60,                0.34891,                0.42966,                0.92397,                0.40397,                0.44847,                0.93893,                0.96977,                0.92681,                0.97793,                0.94141,                0.28471,                0.26363,                 0.8442,                0.30494,                0.21651,                0.85565,             0.00050537,             0.00050537,             0.00050537
                     61,                0.34724,                0.41708,                0.92609,                0.40077,                0.43202,                  0.938,                0.96349,                0.91836,                 0.9839,                0.94741,                0.28545,                0.26337,                0.84757,                0.30418,                0.22981,                0.86014,             0.00050331,             0.00050331,             0.00050331
                     62,                0.34635,                0.42599,                0.92817,                0.40238,                0.44692,                0.93933,                0.94073,                0.94335,                0.98399,                0.94496,                0.28548,                0.25358,                0.84602,                0.29788,                0.20516,                0.85311,             0.00050125,             0.00050125,             0.00050125
                     63,                0.35548,                0.43569,                0.92853,                0.41384,                0.46104,                 0.9426,                0.89741,                0.95433,                0.96901,                 0.9321,                0.28523,                 0.2722,                0.84182,                 0.3055,                0.24474,                0.85848,             0.00049919,             0.00049919,             0.00049919
                     64,                0.35238,                 0.4208,                 0.9237,                0.40095,                0.43721,                 0.9364,                0.94001,                0.90111,                0.96886,                0.93865,                0.27482,                0.27425,                 0.8325,                0.28752,                0.24754,                0.83219,             0.00049712,             0.00049712,             0.00049712
                     65,                 0.3535,                0.40938,                0.92823,                0.40392,                0.43425,                0.93798,                 0.9101,                0.93815,                0.96829,                0.93555,                0.28424,                0.25423,                0.83768,                0.29902,                0.22785,                0.85026,             0.00049506,             0.00049506,             0.00049506
                     66,                0.34838,                0.40204,                0.92243,                0.40766,                0.42295,                 0.9351,                0.93042,                0.93978,                  0.979,                0.94553,                0.27279,                0.24114,                0.83179,                0.28869,                0.20486,                0.84326,               0.000493,               0.000493,               0.000493
                     67,                0.35148,                0.41694,                0.93086,                0.40391,                0.42982,                0.94124,                0.95424,                0.94975,                0.98363,                0.95028,                  0.278,                0.22607,                0.83889,                0.28922,                0.18607,                0.84413,             0.00049094,             0.00049094,             0.00049094
                     68,                0.34729,                0.40187,                0.92864,                 0.4015,                0.41768,                0.94104,                0.96576,                0.91629,                0.98021,                0.94649,                 0.2779,                0.25353,                0.83871,                0.29273,                0.21934,                0.85453,             0.00048888,             0.00048888,             0.00048888
                     69,                0.34166,                0.40205,                0.91759,                0.39402,                0.41507,                0.93031,                 0.9377,                0.96541,                0.98794,                0.95418,                0.27698,                0.22624,                0.83426,                0.29243,                  0.185,                0.84025,             0.00048681,             0.00048681,             0.00048681
                     70,                0.34402,                0.40665,                 0.9214,                0.39536,                0.42646,                0.93065,                  0.939,                 0.9401,                0.97907,                0.94612,                0.27408,                 0.2315,                0.83752,                0.28877,                0.19819,                0.84905,             0.00048475,             0.00048475,             0.00048475
                     71,                  0.344,                0.41154,                0.92323,                0.40024,                0.44401,                0.93807,                0.95819,                0.92772,                0.98188,                0.94798,                0.27968,                0.23947,                0.83962,                0.29376,                0.19544,                0.84563,             0.00048269,             0.00048269,             0.00048269
                     72,                0.34727,                0.41239,                0.92237,                0.39773,                0.42285,                0.93472,                 0.9549,                0.93201,                0.97905,                 0.9487,                0.26882,                0.22972,                0.83108,                0.28163,                 0.1912,                 0.8382,             0.00048062,             0.00048062,             0.00048062
                     73,                0.34377,                0.41638,                0.92298,                0.39382,                0.43937,                0.93673,                0.94349,                0.95151,                0.98295,                0.94697,                 0.2801,                0.23619,                0.83578,                0.29239,                 0.2071,                0.84458,             0.00047856,             0.00047856,             0.00047856
                     74,                0.33561,                0.40194,                0.91909,                0.38858,                0.42868,                0.93195,                0.96421,                0.94018,                0.98527,                0.95462,                0.27759,                0.22832,                0.83597,                0.28399,                0.18421,                0.83628,              0.0004765,              0.0004765,              0.0004765
                     75,                0.33228,                0.37757,                0.91639,                0.38219,                0.39146,                0.92645,                0.97463,                0.91377,                0.97677,                0.94566,                0.27228,                0.24059,                0.83418,                0.28806,                0.20989,                 0.8485,             0.00047444,             0.00047444,             0.00047444
